Melt temperature,Mold temperature,time_to_fill,ZDx - Plasticizing time,ZUx - Cycle time,SKx - Closing force,SKs - Clamping force peak value,Ms - Torque peak value current cycle,Mm - Torque mean value current cycle,APSs - Specific back pressure peak value,APVs - Specific injection pressure peak value,CPn - Screw position at the end of hold pressure,SVo - Shot volume,quality
104.11012,81.48844,6.965899,3.4726555,74.823685,880.114,905.9385,124.22023,106.967026,144.83217,921.5879,8.7058115,18.927465,2
104.24623,81.1773,6.9826007,3.5520475,75.03814,919.2791,911.29065,122.95784,104.919525,146.26384,921.41656,8.875864,18.724716,2
103.97499,81.9773,7.0172,3.9547994,74.716866,878.7567,944.524,122.174545,106.139206,145.34258,923.7505,8.403098,18.847418,2
104.738914,81.93762,7.1101584,3.2631502,74.77256,906.30133,913.9163,112.25821,103.58008,143.45609,955.074,8.3729725,18.782125,2
104.0637,81.314095,7.027661,3.297239,74.749886,911.32983,909.5945,121.17736,106.66559,144.51013,923.9266,9.053417,18.753864,2
104.18514,84.201904,7.4829144,3.0772717,74.80566,918.208,903.0659,109.37881,103.51412,145.27768,925.7798,8.876711,18.632221,1
104.37563,82.05507,7.13318,3.3075254,74.859505,884.95984,910.1174,132.59483,103.80331,145.98695,937.43616,8.418128,18.958576,2
104.06946,82.06176,6.9619,3.45782,74.6294,878.4893,912.0662,135.79068,104.69092,144.03864,925.3329,8.913242,18.754032,1
105.9451,82.13964,7.1328554,2.9283152,74.91941,918.6886,956.77673,116.85225,99.74292,146.09297,922.4998,9.065987,18.574762,2
104.73573,84.57507,7.8455453,3.0884366,74.99027,885.7668,897.3458,119.46957,103.34804,146.83308,924.347,8.001598,18.950382,1
104.25562,81.34296,7.04458,3.8660893,74.64116,884.6024,905.6037,132.40465,104.15533,145.00806,933.66833,8.173081,18.961006,1
104.224075,84.5181,6.963606,4.0477242,74.77408,913.4171,942.03937,125.81953,106.26865,145.8618,922.52106,8.896619,18.518642,1
104.68626,81.18875,6.916718,3.8321419,74.77905,913.352,903.2245,114.96648,105.743576,145.8484,928.0534,8.927371,18.882399,1
105.61184,86.09658,7.4159904,2.211555,74.87322,878.69135,962.73004,121.86258,103.15788,146.46053,924.13354,7.9898014,18.587963,1
106.0784,82.226074,6.993264,3.4869277,74.81998,918.97687,910.4499,119.38255,104.17433,146.0051,927.25183,9.019385,18.672579,1
104.853806,83.23723,6.7730246,2.920072,74.78338,877.7861,917.50775,140.10223,104.631454,144.59756,922.12256,9.237949,18.861147,2
104.03166,81.319244,7.0228353,3.1042671,74.804306,882.7333,905.8007,126.21635,104.544266,145.12727,928.49866,8.758422,18.967733,2
106.16106,82.41986,7.0878396,3.0118263,74.77869,918.68353,906.8703,128.44691,101.915306,144.36911,930.1818,8.923571,18.725985,1
106.828674,90.244225,7.242388,3.2388263,75.20551,918.4063,906.681,123.27688,101.181145,145.35251,925.28375,9.212422,18.651218,2
104.467094,82.030235,7.5184913,2.7881043,74.75834,880.3385,912.4085,135.04735,104.116615,145.14908,921.4193,8.933849,18.80935,1
104.463875,82.95363,7.14625,3.6315246,74.991776,919.3936,916.19403,116.36218,103.736305,145.39575,936.1223,8.543324,18.809572,2
104.064384,80.433464,7.055667,3.526636,74.91081,899.7406,911.8968,117.47489,102.70458,145.3267,927.152,8.729829,18.862122,2
104.16261,82.905846,6.8152127,3.4899406,74.73982,877.911,946.8667,123.988266,106.73664,144.4561,920.6728,8.748079,18.680492,1
104.71034,85.36497,6.9889812,2.7104716,74.674324,875.19574,987.74603,124.677055,103.06243,145.02708,925.16846,8.689881,18.678558,2
104.30464,82.39811,7.0012517,3.1703613,74.7164,877.0612,940.23816,121.592285,103.632935,144.7161,934.8177,8.564866,18.713924,2
105.08607,85.63981,11.1831665,3.0980968,74.78988,918.566,922.91095,120.46648,101.69986,144.63016,929.0671,8.468599,18.882164,1
105.16282,88.32128,8.61778,3.153395,74.82399,919.4068,908.475,132.33122,101.65764,144.03438,923.23193,8.307771,18.753933,1
104.61434,86.7598,6.763239,3.2303638,74.858444,884.9014,920.91205,112.36033,105.93388,144.7663,923.84607,8.965238,18.587826,1
104.2922,81.70983,6.826403,3.937587,74.95049,911.5788,910.18494,120.05276,106.243614,146.93585,923.1382,8.734597,18.964567,2
105.20429,89.57316,6.8968854,2.7906897,74.92326,892.2863,900.6185,112.46606,103.68263,145.54173,929.59937,8.7628355,18.678461,2
107.109726,86.73583,7.061008,2.5438464,74.82993,919.28735,905.90717,128.2924,101.89422,143.53177,927.8025,8.943085,18.75636,1
104.19022,81.5629,6.942175,3.3608844,74.74127,916.54254,906.8929,118.37238,102.15408,144.53096,939.25574,8.379898,18.940592,2
107.731415,81.7764,7.162768,3.1555667,74.83219,889.9135,915.07745,132.91167,103.200905,143.7944,932.3229,9.268829,18.894428,1
106.94421,88.12639,7.254919,3.4607885,75.0595,919.4098,908.0382,133.81593,100.1474,144.64691,917.8753,9.299451,18.921783,2
104.220665,81.94569,6.820215,3.113703,74.76413,882.42334,897.2404,136.92883,103.50738,144.50839,922.63165,8.845657,18.943357,1
104.289635,84.72168,6.786888,3.8391054,74.775185,880.3496,960.01276,126.442,105.423645,145.84915,924.7374,8.438764,18.75148,1
104.62071,81.973816,6.8557568,2.8514736,74.82922,918.5386,902.7564,119.66959,106.17672,145.54324,920.26996,9.089195,18.681654,2
104.76723,82.04537,6.9792647,3.6498287,74.59416,879.16846,903.6286,140.25795,104.44767,143.52141,931.60925,8.951608,18.82296,1
104.99674,80.33473,6.8759527,3.0864725,74.79292,898.23315,905.41846,120.8771,105.55062,144.56776,923.12823,8.890727,18.669895,1
104.46104,83.62183,6.963285,3.2542138,75.34269,905.50696,913.7224,120.45445,103.77506,146.49098,922.14355,8.70717,18.891394,2
103.95767,81.55938,6.876391,3.7563558,74.74494,916.04254,928.6022,112.42975,106.34001,145.08664,924.28064,8.895492,18.612799,1
107.28525,84.91997,7.0337973,2.39981,75.00537,883.27826,923.945,120.79588,103.29697,146.0284,926.87354,8.766172,18.86885,2
107.802895,86.07571,7.073068,2.3464549,75.130905,888.92926,927.1938,117.81194,104.40444,146.53654,928.0824,8.976694,18.92638,2
105.55169,81.39917,6.8043966,4.304714,74.750404,901.4057,914.0264,120.29666,105.69189,146.86446,931.69104,8.939757,18.815445,1
104.89043,86.32577,8.146711,3.0573552,74.84631,884.9032,904.48425,113.86682,102.59903,145.36313,932.2261,8.880304,18.949865,1
106.752686,90.123184,10.857399,2.9106953,74.93446,888.07227,914.13153,120.365875,104.25543,145.3256,931.3225,8.923033,18.802345,1
104.801125,80.9731,6.9159164,3.0020995,74.792786,883.6555,907.68134,126.02748,104.19545,144.96326,922.4852,8.943151,18.941853,2
107.8318,88.841125,6.94082,2.5536056,75.0269,890.1616,909.8895,126.622604,102.830475,144.26807,926.9863,9.144125,18.870754,1
105.04388,81.797905,7.247336,3.7975433,74.660934,893.61304,959.73846,124.32555,104.18181,143.75337,935.74194,8.342582,18.68888,2
103.9269,81.0424,6.7982073,3.61723,74.72902,901.8612,913.8257,115.57693,105.291405,145.55672,925.0167,8.692004,18.576584,1
104.5512,81.73158,6.943555,3.064793,74.660706,880.1006,929.5523,124.25905,103.9545,143.17027,942.41693,8.713429,18.724276,2
104.200485,85.264435,7.1410418,3.194146,74.75946,919.4078,932.4387,117.26392,102.97695,145.13594,923.692,8.663188,18.611923,1
104.13312,80.81003,6.828727,3.5667455,74.79506,880.80853,914.47217,115.44351,107.046265,145.27881,922.1543,8.76976,18.62901,1
104.67236,80.87245,7.618512,2.765411,74.73345,880.2341,904.1756,119.88809,105.30078,145.54463,927.78204,9.165774,18.57216,1
104.010376,81.82105,6.9333196,3.2814775,74.818535,916.74414,906.3615,117.79491,104.70665,144.6351,925.5929,8.730921,18.912743,2
104.32017,84.782326,7.0485206,3.8671427,74.699905,875.1125,976.8441,127.17892,103.46868,145.40305,926.88184,8.598062,18.774986,2
104.51524,82.28813,6.9588184,3.153363,74.85151,918.2947,901.12213,117.498856,104.69532,145.30457,922.57965,8.96581,18.870731,2
104.17084,82.36087,6.925777,3.1096542,74.843025,912.68854,908.90265,120.06434,106.07313,145.33614,925.0093,8.880074,18.814245,2
104.17064,80.80435,7.082033,2.9814634,74.681404,881.3022,903.2105,130.20616,104.520905,144.96732,926.1839,9.005954,18.492998,1
104.4122,82.86169,6.849735,2.7392066,74.68989,877.3542,925.30084,134.82014,103.49978,144.33878,921.80884,9.022827,18.731783,1
107.06323,90.3375,7.058416,2.3415337,74.97121,893.3609,902.92194,111.50895,104.34913,146.00867,926.5204,8.727149,18.660309,1
105.65068,90.358635,8.048403,2.835687,75.022606,880.0306,914.86786,113.27832,103.97447,146.47516,927.1533,8.472442,18.651482,2
104.36111,85.35134,7.2630982,3.922962,74.72091,919.37976,970.3071,122.93242,104.12542,145.54088,926.0905,8.541676,18.619694,1
106.178444,89.29297,7.0683537,3.5775595,75.00454,919.4098,905.84937,130.14201,101.96912,144.57867,922.17224,9.310124,18.906652,2
104.02285,81.81086,6.850874,3.2530558,74.87825,885.36694,905.21124,133.27359,102.60293,146.57773,922.572,8.277388,18.97453,2
104.54104,80.44042,6.737122,3.7362235,74.682304,878.87305,905.0054,116.16657,104.33539,145.70912,927.938,8.846678,18.727228,1
104.21958,81.72457,7.469318,2.8915236,74.79577,875.03424,943.51904,121.19796,103.03321,144.33478,925.2744,8.94069,18.464176,1
106.90921,91.09607,11.039801,3.060044,74.918846,894.6481,917.5059,128.37149,103.44406,145.26973,928.8296,8.660508,18.8336,1
103.89142,81.493256,6.792617,4.2191796,74.70162,902.59186,923.49554,118.990585,106.65274,146.0399,927.4953,8.813486,18.612703,1
104.103,79.91899,6.757713,4.231316,74.76178,906.5316,906.19556,120.84948,105.09541,146.64236,930.6349,8.336735,18.908964,2
107.23891,81.741455,6.9846125,2.6412518,75.04482,901.2874,920.40295,125.21436,104.23384,146.64725,924.43506,9.168859,18.911026,2
104.73899,86.50196,7.0674305,2.4811406,74.728485,875.0321,992.3257,120.89632,102.52812,146.65717,924.8901,8.042255,18.7646,2
104.71796,83.56592,7.127646,3.9977617,74.94343,919.4098,922.62994,124.94726,103.493484,143.8109,935.80164,8.776655,18.928093,2
107.78823,90.62854,10.346215,3.0717604,74.95002,894.0135,918.7288,136.46422,102.73083,142.53426,931.5221,9.22734,18.917973,1
104.64947,82.65768,7.0306635,3.2245355,74.88684,919.40967,908.04877,120.93555,102.07712,145.04994,922.69464,8.997502,18.78778,2
104.23922,82.866776,7.039452,3.2805934,74.80461,881.44867,902.30975,121.949005,106.777565,144.38101,923.86597,8.845473,18.93423,2
107.779594,91.228355,7.1255136,1.7342745,75.064705,888.93024,945.04364,121.969635,102.162224,146.96446,924.31586,7.880672,18.79959,2
105.05996,90.0502,6.9380174,2.8628247,74.83599,919.39667,907.70013,111.06142,101.13972,145.44136,920.7596,8.709798,18.55419,1
103.980255,81.58537,6.925547,3.4431548,74.71776,918.3099,939.3502,113.55702,105.56884,144.66539,922.3744,8.605703,18.659092,1
104.57435,85.694466,7.0177846,2.797499,74.89843,878.1099,947.3715,121.38971,105.620514,146.66713,924.1591,7.8324747,18.783936,2
106.8523,82.32441,6.9676723,3.3815193,75.00893,886.60767,909.0235,119.90505,103.852486,146.84659,927.10425,8.641541,18.926882,2
